"Exp","ID","Section","LM","NearFar","Site","X","Y","Z","step","yaw","pitch","CurrFlowerDist","flowerx","flowery","flowerz","LeftLMx","LeftLMy","LeftLMz","RightLMx","RightLMy","RightLMz","stops","stops"
1,1,"Test","Y",NA,NA,91.2582321,46.43242348,4297.713388,2.06028892670061,-0.719506732776594,2.0205673525319,666.648590522365,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,91.33036503,44.6091139,4298.670012,29.9215308097418,0.154537403219384,-1.90427251534147,667.065448160214,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,90.81938691,40.18529431,4269.081725,34.0777401790651,-0.873871819847713,0.127092106829594,638.001967255045,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,97.22025224,33.43555595,4236.298157,40.2483568566939,0.143011843616262,0.432986462177131,607.015224923936,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,112.3659398,12.03374764,4205.761278,45.9672175509346,-0.708331494154952,-0.109396130991339,576.880298635339,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,137.5382768,5.697246195,4167.824656,43.7717651946312,0.0899257642988152,0.689320530105307,548.308860204486,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,177.2295904,-8.188132788,4155.668863,43.6441999834533,-0.700327671043356,-0.11894890190654,548.960410922746,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,214.7919161,6.113651863,4138.658665,87.8282703289979,0.236551291628698,-0.619630748225106,554.477781146777,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,260.387509,11.94717816,4063.820059,52.7671476672837,-0.356167094967238,0.137562519894826,520.584580068242,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,290.0682244,27.52839392,4023.068952,16.7846316428185,-0.870213986004577,2.16496933010277,514.612151579838,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
